name,phone,address,menu
속에천불청송얼음막걸리 신대방점,0507-1357-5576,서울 관악구 조원중앙로 50,누룽지감자전 두부김치 똥집볶음 무뼈닭발 골뱅이 무침 해물파전 매생이굴전 정구지전 김치전 야채고추전 돌미나리전 메밀전병 제육볶음 오돌뼈 볶음 낚지볶음 
왕빈자전통주막 화랑대본점,0507-1460-3233,서울 노원구 노원로 3 1층 104호,오징어순대 모듬전 매콤찍먹전 베이컨김치치즈전 불고기치즈파전 치즈감자전 허니치즈고구마전 해물파전 갑오징어숙회 골뱅이무침 시골돼지애호박찌개 삼겹두부김치 
방자전,031-613-2752,경기 화성시 동탄중심상가2길 29 세림프라자 104호,
정작가의 막걸리집 1호점 정말작은가게,0507-1403-1048,서울 동작구 동작대로33가길 5 1층,순대크림스튜 수소문 
본동 주막,0507-1370-8988,서울 강서구 화곡로 194-5 1층 본동주막,미니전 만두속전 깻잎전 동태전 굴전 골뱅이 무침 도토리묵 무침 오징어순대 떡갈비 삼겹야채볶음 항정살양념구이 김치찌개 오뎅탕 떡볶이 파김치 
취아전,032-466-6573,인천 남동구 담방로48번길 13-5,해물파전 김치해물전 부추전 두부전 박대구이 
원두막,,인천 미추홀구 미추홀대로734번길 36,세트A 세트B 세트C 세트D 김치전/부추전/호박채전/옛날소세지전 계란후라이/계란말이 닭도리탕  대 감자탕   대 
교동전선생 천호역점,02-6101-9293,서울 강동구 올림픽로70길 33 교동전선생,모둠전(소) 골뱅이소면 목살김치찌개 고추장불고기 얼큰김치칼제비 해물파전 수육정식 제육정식 
향꽃,0504-1845-4064,서울 서대문구 연세로7안길 39,
청산에물흐르고,031-245-1004,경기 수원시 영통구 영통로214번길 41 토야 플라자,닭도리탕 김치찌개 바지락술국 해물파전 제육볶음 쭈꾸미볶음 골뱅이무침 먹태 
산넘어남촌에는,031-474-9799,경기 안양시 만안구 예술공원로 189,해물미나리전 해물부추전 해물김치전 매생이전 
교동전선생 서소문점,02-310-9909,서울 중구 서소문로 134-10,김치찌개 정식 된장찌개 정식 순두부찌개 정식 계란찜 정식 모듬전 고추장불고기정식 
총각집,0507-1416-9212,"서울 광진구 아차산로55길 30 1층 총각집, 구의역 2번출구 도보3분강변역4번출구 도보 17분",골뱅이무침(ft.파스타) 수제고추튀김 수육과 김치 순두부버섯전골 마른안주3종 해물파전과 야채무침 한우육회물회 바지락술찜 우삼겹폭탄비빔라면 두부강정 에그베이컨감자채전과 야채무침 두부전과 어리굴젓 닭곱창튀김 과메기
지짐이랑막걸리랑,,경기 부천시 부광로 9,고등어구이 핫숯불모듬소세지 담백한삼치모듬구이 임연수구이 서대구이 
토담골,031-981-7993,경기 김포시 돌문로62번길 5-14,
막걸리촌,02-2633-9289,서울 영등포구 당산로49길 8,
민속주점 초가삼간,02-711-3391,서울 마포구 도화길 14-4,파전 햄구이 김치전 부추전 호박전 
전이랑막걸리랑,032-812-0208,인천 연수구 먼우금로252번길 27-1,
전초전,02-2207-8892,서울 중랑구 사가정로51길 39,
청사초롱,02-474-7456,서울 강동구 진황도로 4,
죽마고우,031-244-5568,경기 수원시 팔달구 화양로35번길 14-1,
막리단길 동탄산척점,031-375-7537,경기 화성시 동탄산척로2가길 34 103호,막리단길 쟁반술상 
막걸리전당,0507-1407-7103,서울 관악구 봉천로 461-1 1층,국산전두부와볶음김치 *SIGNATURE 전당모듬전 *BEST 옛날모듬전 체다듬뿍감자전 전당쌀떡볶이 골뱅이무침 한돈육전 홍어무침 모짜렐라김치전 내맘대로세가지전 송명섭막걸리 해창막걸리9도 칠곡신동막걸리 금정산성막걸리 복순도가 샴페인 막걸리
옹기종기,02-928-3833,서울 성북구 동소문로24가길 21,햄치즈순두부 해물순두부 해물집된장 전주콩나물국밥 얼큰육개장 
지화자,0507-1397-0241,서울 성북구 돌곶이로 197 1층,육회 아롱사태수육 소고기찜 참소라무침 쭈꾸미볶음 치즈감자전 닭발편육 청어알두부쌈 
월선네 압구정점,02-546-0059,서울 강남구 논현로 874 진성빌딩,월선네국밥 육개장 전고추장찌개 들깨수제비 바지락수제비 제육쌈정식 청국장 묵사발정식 
막걸리싸롱 마곡나루점,010-8121-3370,서울 강서구 마곡서로 152 두산더랜드타워 A동 1층 111호,과일막걸리 해물수북파전 과일스무디 치즈김치전 윷막걸리세트(A) 해물짬뽕탕 닭도리탕 
두레박민속주점,02-507-2680,경기 과천시 별양상가2로 20,닭불꼬치구이 모듬소세지 대하 낙지볶음 오돌뼈볶음 
막샵,02-888-6201,서울 관악구 신림동길 17,하얀연꽃막걸리 꿀막걸리 알밤막걸리 
담다,02-579-0304,서울 서초구 강남대로30길 72,청명주 
촌구석민속전,031-447-8880,경기 안양시 만안구 안양로405번길 28,모듬전 김치전 부추전 닭똥집 동태전 
초월집,,서울 마포구 독막로7길 45 2층 초월집,초월 소고기 스지 전골 고추장 로제 모듬순대 페퍼로니 치즈 감자전 크림 낙지 육회 바지락 크림 술찜 명란 감바스 석탄 튀김 시저 샐러드 베이컨 루꼴라 말이 
최고집,02-871-3365,서울 관악구 신림로59길 15-12,모듬전 해물파전 치즈감자전 
산장,02-322-3637,서울 마포구 와우산로18길 10 1층,닭볶음탕 해물파전 얼큰한 알탕 감자전 낙지철판 버섯제육철판 불낙지철판 불오징어철판 낙지볶음소면 
교동전선생 보라매점,070-4255-0410,서울 관악구 봉천로7길 31,"모듬전 김치,순두부,된장,해물계란찜 정식세트 해물파전 굴전 감자전 김치전 제육볶음 정식세트 두부김치 홍합탕 막걸리 한 주전자 알밤 막걸리 동그랑땡 동태전 삼색전 부추전 "
산장,02-322-3637,서울 마포구 와우산로18길 10 1층,닭볶음탕 해물파전 얼큰한 알탕 감자전 낙지철판 버섯제육철판 불낙지철판 불오징어철판 낙지볶음소면 
교동전선생 보라매점,070-4255-0410,서울 관악구 봉천로7길 31,"모듬전 김치,순두부,된장,해물계란찜 정식세트 해물파전 굴전 감자전 김치전 제육볶음 정식세트 두부김치 홍합탕 막걸리 한 주전자 알밤 막걸리 동그랑땡 동태전 삼색전 부추전 "
잔치집,02-2633-3331,서울 영등포구 영등포로50길 5-1,잔치집모둠전 잡고기 매운탕 닭도리탕 무뼈닭발 통마늘닭똥집 차돌된장찌개 돼지김치찌개 부대찌개 참치김치찌개 고기순두부 콩비지 알탕 동태찌개 오삼불고기 오징어볶음사리 
미주류 어린이대공원역점,0507-1318-6409,서울 광진구 동일로32길 18,한돈보쌈 한우육회 등심튀김 치즈감자전 청어알&두부 쭈꾸미볶음&소면 해물파전 메밀전병 동그랑땡전 감태밥 
거나하게,0507-1324-1242,서울 강남구 역삼로14길 10 1층 거나하게,갓김치를 곁들인 삼겹살조림 살치살 타다끼 항정살 된장 구이 새우 파전 육전과 참나물 무침 칼빔면 두부 탕수 닭껍질 만두 닭볶음탕 거나하게 튀김 
종로주막 부천본점,032-612-4542,경기 부천시 신흥로46번길 57,모듬전 해물파전 알새우전 홍어무침 오징어볶음 닭똥집 부대찌개 닭볶음탕 
옛골주막,010-6288-6280,경기 광명시 하안로287번길 22 신영빌딩 2층,해물파전 김치전 부추야채전 김치&부추 반반 감자전 메밀전병 숮불막창 국물닭발 골뱅이무침 코다리 양념구이 돼지껍데기 닭볶음탕 굴짬뽕탕 해물누룽지 황태탕 
풍년왕막걸리 석남점,032-582-8158,인천 서구 신석로 83,김치보쌈 대 김치보쌈 소 일반보쌈 삼합 황태보쌈 해물누룽지탕 
짚동가리쌩주 서현점,031-708-1377,경기 성남시 분당구 황새울로360번길 28 은성프라자 201호,사골해물어묵탕 게살퐁당계란탕 수육짜글이 
금잔화,0507-1353-6316,서울 강북구 월계로7길 42 1층,
인동주마을,032-682-7889,경기 부천시 평천로 702-7,홍어삼합 국내산 홍어삼함 국산+칠레 홍어찜 홍어무침 인동주웃주 
신평양조장,041-362-6080,충남 당진시 신평면 신평로 813 신평양조장,단체체험- 명인연잎주빚기 (15인~) 개인체험- 한지공예 등만들기 체험 단체체험- 막걸리소믈리에Class 단체체험- 누룩전만들기(15인~) 개인체험 - 쌀누룩입욕제 만들기
교동전선생 종로구청점,0507-1314-9909,서울 종로구 삼봉로 62,초당두부짜글이 하얀강릉초당순두부 모듬전 소고기육전 
전장터,0507-1409-2622,경기 용인시 수지구 문인로31번길 3-6 1층 전장터,백두산 모듬전 찌개 해물부추전 김치전 호박채전 감자채전 치즈고추전 대패삼겹 깻잎전 골뱅이소면 마른안주 셋트 통뼈 국물 닭발 두부 제육 김치 장터라면 대패삼겹 숙주볶음 로제떡볶이 간장 계란 볶음밥 
놀부전흥부전,02-2611-3225,서울 구로구 경인로25길 21,
전초전 삼선교점,02-742-9134,서울 성북구 삼선교로 34-1,
반층집,070-8691-1231,서울 영등포구 당산로32길 7-4 1.5층,
그때그집 별관,02-539-0053,서울 강남구 삼성로100길 16 한화빌딩,
만석골,02-745-1942,서울 종로구 돈화문로11길 18,양선지국 김치찌개 청국장 오징어볶음 녹두전 오삼불고기 육전 모듬 해물파전 굴전 감자전 동태전 새우전 김치전 부추전 
미스터비어드,0507-1353-9772,경기 성남시 수정구 위례서일로3길 27-6 미스터비어드,이달의메뉴 
연대포,02-3141-3131,서울 서대문구 연세로7길 26,모듬전 고추튀김 해물파전 왕족발(칠레산) 훈제치킨(국내산) 감자전 김치전 반반전 반반파전 김치해물파전 
한계령 선학본점,032-819-0080,인천 연수구 학나래로6번길 11,동해막국수 
서울막걸리,031-464-7550,경기 안양시 만안구 양화로135번길 23,
술이송송,0507-1306-7731,서울 광진구 아차산로29길 41 2층,"막걸리,전통주 안주 "
탈롱드청담,0507-1363-5159,서울 강남구 압구정로79길 37-6 1층,탈롱 오일 파스타 청어알 파스타 항정살 보쌈 미나리 파스타 치즈감자전 삼계 닭튀김 두부크림을 곁들인 갑오징어 버터구이 문어 세비체 
짚동가리쌩주 숭실대점,02-812-2010,서울 동작구 상도로61길 44,
막끌리나,0507-1409-1305,인천 부평구 경원대로1403번길 34 3층,
청학동지짐이,031-392-3944,경기 군포시 산본동 1119-1,
여정막걸리,02-585-0515,서울 동작구 동작대로3길 10,문어숙회 가리비 새꼬막 과메기 홍어삼합 해물부추전 간재미회무침 막걸리 수육 간재미찜 가오리회무침 생선구이 해물김치전 
페페,0507-1319-1484,서울 서초구 언남길 64 덕성빌딩 1층,수제맥주 막걸리 
교동전선생 석계역점,02-943-1870,서울 노원구 화랑로 337-15 2층,
왕빈자전통주막 경안점,0507-1435-3018,경기 광주시 경안로 14-11 광동빌딩 1층,모듬전 조개탕 해물파전 베이컨김치치즈전 체다 치즈감자전 도토리묵 사골 오뎅탕 골뱅이무침 물뱅이&소면 우삼겹떡볶이 우삼겹짜글이 비빔국수 먹태 도토리묵 물뱅이&소면 
왕빈자전통주막 봉천역점,02-877-5557,서울 관악구 남부순환로 1739-3,모듬전 치즈전 해물파전 연탄불고기 꼬막무침 우삼겹떡볶이 갑오징어숙회 골뱅이무침 물뱅이 낙지볶음 쭈꾸미볶음 먹태 유부오뎅탕 도토리묵무침 조개탕 
옛날옛적에,02-354-5228,서울 은평구 은평로9길 30,홍어삼합 한방보쌈 해물파전 오늘의메뉴(점심밥상) 들깨버섯탕(3-4인) 과메기 (겨울철) 토종닭볶음탕 엄나무 오리백숙 엄나무 토종 닭백숙 코다리찜 삽겹살 김치찜 홍어탕 해물순두부 꽃게찌개 제육볶음
경성주막,02-928-5778,서울 동대문구 천호대로 7-10,
전초전 쌍문역점,02-997-7997,서울 도봉구 도봉로110나길 13,모듬전 부추전 김치전 배추전 통돼지 김치찌개 감자전 두부전 치즈김치전 깻잎전 호박전 동그랑땡 고기김치전 해물김치전 해물부추전 동태전 
멍텅구리육천냥하우스,02-355-1186,서울 은평구 역말로 24,김치찜 대 매운돼지갈비찜 대 묵은지갈비찜 대 묵은지닭볶음탕 굴보쌈 대 
파전한판,031-204-1292,경기 수원시 영통구 청명북로7번길 6,"해물 파전, 부추전, 김치전, 녹두전 등 굴파전, 모듬전, 굴전, 동그랑땡 등 솥뚜껑파전(동래파전) 해물탕, 어묵탕, 김치찌개, 두부김치 해물찜, 골뱅이무침, 돈껍데기, 과메기 등 전메뉴포장판매, 생반죽, 생막걸리판매 "
교동전선생 문래점,02-322-6487,서울 영등포구 경인로 775,김치뚝배기 된장뚝배기 순두부찌개 해물계란찜 쭈꾸미볶음 
월선네 상암점,0507-1485-9779,서울 마포구 월드컵북로54길 17 2층 217호,
그주막,02-499-1605,서울 광진구 동일로22길 59 B1,막걸리 그주막인생전요리 도토리묵 전세트 두부김치 전세트 닭볶음탕 전세트 
놀부주막,0507-1326-0363,경기 화성시 병점로 48 1층 101호,모듬전 육전 해물파전 새우전 동그랑땡 꼬치전 고추전 동태전 깻잎전 해물김치전 부추전 두부전 동태+깻잎 동태+고추 고추+깻잎 
박달재,031-684-6304,경기 평택시 안중읍 현화중앙길 1 세연프라자,
행복전 초지동점,031-411-1833,경기 안산시 단원구 초지2로 67-7 한양타워,
명동주가,031-319-7720,경기 안산시 단원구 초지2로 67-11 초지동 107호 1층 명동주가,"낙지소면 삼겹볶음 닭매운탕 돼지숙주볶음 파전 코다리구이 매콤주꾸미볶음 삼합(대) 삼합(중) 보쌈(대) 보쌈(중) 낚지차돌밖이철판 이외 탕,전류 다수 "
슈릅,031-403-4308,경기 안산시 단원구 광덕대로 174,
홍당무,031-503-2297,경기 안산시 상록구 한양대학로 48,멸치 칼국수 바지락 칼국수 들깨 칼국수 비빔 칼국수 만둣국 
구포국수,031-405-9894,경기 안산시 단원구 초지2로 67-11 두산타운,멸치국수 
전이랑술이랑,031-419-5331,경기 안산시 단원구 광덕3로 175-3 21세기타운,모듬전 해물파전 굴전 감자전 김치전 부추장떡 부추전 누룽지동동주 쌀막걸리 장수막걸리 
민속주점주담,,경기 안산시 단원구 광덕3로 167-18,
대박전 중앙점,031-485-1889,경기 안산시 단원구 고잔1길 45 G.M프라자,태극전 대박set1 태극전+찌개선택1 대박set2 모듬전中+찌개선택1 대박set3 김치전+도토리묵무침or살얼음묵사발 대박치즈전 동태전 애호박전 모듬전 中 모듬전 大 오징어순대전 매운김치전병 홍두깨육전 감자전 김치전 매운김치전
우리동네해물파전,031-502-0333,경기 안산시 상록구 항가울로 19,
옥향민속주점,,경기 안산시 상록구 서암로 5,
민속전,031-403-9927,경기 안산시 단원구 고잔로 112 신광프라자,
전국민,031-413-1880,경기 안산시 단원구 고잔로 112 신광프라자,
토인민속주점,031-487-8951,경기 안산시 단원구 와개1길 13 1층,오징어초무침 골뱅이 소면 낙지소면 두부김치 항아리수제비1인분 계란말이 모듬감자튀김 왕새우튀김 후라이드치킨 양념치킨 닭도리탕(대) 알탕 해물파전 부추전 김치전
미혹,0507-1479-0317,경기 안산시 단원구 초지2로 67-7 1층 124호,안산 최대 지역 전통주 / 제철 메뉴 
한우물,031-502-8552,경기 안산시 상록구 석호로 364,우렁부추전 홍어삼합  해물파전 닭발볶음 도토리묵묵무침  계란말이 골뱅이무침 김치전 훈제오리리야채쌈  감자전 산나물전 두부김치 
광장민속주점,031-410-5743,경기 안산시 상록구 예술광장1로 124,
청송얼음골막걸리 부곡점,031-415-1566,경기 안산시 상록구 정재로2길 1,
전주전집,02-581-1419,서울 동작구 동작대로7길 19,꿀돼지 삼겹전 동그랑땡 전병 감자전 김치전 깻잎전 / 고추전 배추전 / 두부전 / 부추전 / 호박전 표고버섯전 소고기 안심전 녹두전 홍어무침 홍어회 해물파전 해물김치전 암행어사 세트(7~8인)
묵전,02-548-1461,서울 강남구 언주로168길 22,
주전자속에얼음막걸리 신길점,,경기 안산시 단원구 신길중앙로 9-1,
목로주점,032-571-5943,인천 서구 가정로 202,보쌈 중 감자탕 파전 수육추가 굴무침추가 보쌈 대 보쌈 소 
우리술집 다람쥐,070-4258-8880,서울 종로구 서순라길 101 1층,다람쥐 순두부찌개 
장군집 본점,02-882-0562,서울 관악구 청룡2길 19,기본한상 막걸리 3병+안주 볶음삼겹살 매콤 파 삼겹살 골뱅이+소면 홍어사시미 홍어찜 김치찌개 동태찌개 낙지데침 계란말이 꼬막 머리고기 김치전 파전
대반전 신풍역점,0507-1404-2778,서울 영등포구 신길로 108 남서울아파트,명절전세트 모듬전무한리필+곱도리탕中 모듬전무한리필+매운갈비찜 모듬전무한리필+닭볶음탐 모듬전무한리필+국물닭발 모듬전무한리필 해물파전 
다모토리 히읗,070-8950-8362,서울 용산구 신흥로 31 1층,복순도가 갈비구이와 부추샐러드 샘플러 막걸리 한세트 해물김치전 부추 버섯전 골뱅이무침 다모토리 육회 베이컨 치즈 계란말이 치즈 불 제육 도토리묵 무침 고등어 구이 
화성탁주,031-353-0020,경기 화성시 남양읍 송림로 24,
술익는마을,02-338-1190,서울 서대문구 연세로7길 22,해물파전 김치삼겹살 해물떡볶이 매운닭발 참치다다끼 부추전 김치전 해물라면짬뽕탕 매콤한고추장찌개 알탕 밀푀유나베 닭볶음탕 간사이오뎅탕 모듬해물탕 해물누룽지탕 
백곰막걸리,0507-1377-7644,서울 강남구 압구정로48길 39 1-2층,
전싸롱,0507-1496-2728,경기 수원시 팔달구 경수대로446번길 62 1층,
나그네민속주점,031-319-4903,경기 시흥시 중심상가로 158,
시골막걸리,,경기 시흥시 군서로10번길 31,
교동전선생산본,031-393-1700,경기 군포시 산본로323번길 15 동산상가,모듬전 육전 2색 전 반반전 해물파전 굴전 감자전/김치전/부추전 골뱅이소면 두부김치 통돼지 김치찌개 어묵탕 도토리묵 순두부계란찌개 김치찌개 잔치국수
별주막,0507-1310-7016,경기 군포시 산본로343번길 23 옥산프라자 205-206호,막걸리 
양반전,031-226-6626,경기 화성시 병점동로164번길 38 1층 양반전,
교동전선생 서울시청점,02-6031-8949,"서울 중구 남대문로9길 40 센터플레이스 1층 104,105호",모듬전 고향막걸리(大) 해물파전 생새우미나리전 지평막걸리 
막걸리싸롱,02-324-1518,서울 마포구 와우산로21길 12-6 1층,
교동전선생 동여의도점,02-786-7686,서울 영등포구 의사당대로1길 25 하남빌딩 117호 118호,김치찌개 정식 된장찌개 정식 고추장 불고기정식 순두부찌개 정식 해물계란찜 정식 
학술적연구소,0507-1465-8101,서울 종로구 보문로1길 7-4 1층,
우아한막걸리,0507-1405-6411,경기 안양시 동안구 동편로27번길 7 동편로27번길7 1층 대로변,한우육회와 참문어 
연남주막1987,070-4143-1987,서울 마포구 동교로 212-5,
피팅룸,0507-1478-9301,경기 수원시 영통구 센트럴파크로127번길 131-6 1층,스지전골 동파육 버섯 구이 
월선네 분당구미점,0507-1427-3385,경기 성남시 분당구 성남대로 51 162호,
노천파전,02-968-2494,서울 동대문구 회기로28길 3,떡만두국 오뎅국수 꼬막찜 굴전 홍합탕 
서울주막,,경기 부천시 범안로 54 그린홈프라자,
장끼전,010-2436-1633,서울 마포구 성미산로 190-33 B1,
미주류 본점,0507-1301-4864,서울 광진구 면목로 31 1층,한돈보쌈 한우육회 치즈감자전 등심튀김 청어알&두부 메밀전병 쭈꾸미볶음&소면 해물파전 감태밥 동그랑땡전 생골뱅이 무침 애호박전&건명태무침 
사랑방,02-515-4699,서울 강남구 봉은사로1길 9,
심마니,02-469-1113,서울 광진구 아차산로31길 20-4,막걸리 김치전 해물파전 해물부추전 심마니전 쥐포 계란말이 계란탕 순두부찌개 두부김치 돼지찌개 참치찌개 알탕 골뱅이 쭈꾸미볶음 
대청마루,0507-1352-7565,경기 수원시 팔달구 향교로 19 농강빌딩,
종부네,010-4305-1805,서울 동작구 동작대로27가길 37 2층,1+한우양념육회 통골뱅이파무침 국내산김치듬뿍김치전 김치제육볶음 전통주잔술 주류및 음료 한우육전 치즈감자채전 종부네파전 1+한우육회 오뱅새세트 오뎅전골 마약옥수수전
교동전선생 목동점,02-6342-0102,서울 양천구 목동동로 233-1 드림타워,
막걸리학교,02-6012-6550,서울 동작구 동작대로25길 41,
작은집,0507-1423-0806,서울 양천구 신월로10길 16 110호 작은집,메뉴판 
도솔마을,0507-1437-3601,경기 성남시 분당구 내정로113번길 6 1층,
왕빈자전통주막 송도점,070-7543-7338,인천 연수구 아트센터대로 107 301동 1층 109호,
화양주막,02-3409-7337,서울 광진구 아차산로27길 4 1층,곱도리탕 육새우전 차돌만두전골 치즈감자채전 콘치즈김치전 삼겹김치전골 차도리탕 옛날 순두부전골 참치김치전골 삼겹두부김치 편도리묵 골뱅이 묵무침 육전 삼도리탕 닭도리탕 
호호알락막걸리카페 본점,0507-1321-3894,인천 부평구 경원대로1431번길 44 2층,
월매 민속주점,02-585-7717,서울 관악구 남현1길 58,모듬전 가오리찜 해물파전 월매해물잡탕 두부오징어두루치기 홍어삼합 홍어회 홍어회무침 치킨+감자튀김 후라이드치킨 묵은지돼지김치찜 해물누룽지탕 오뎅탕 두부전골 부대찌개 
좋은날목로주점,032-461-6670,인천 남동구 독곡로48번길 28,오징어초무침 오삼겹볶음 돼지김치두루치기 가오리찜 고추장삼겹볶음 
주주마당,02-2683-4504,경기 광명시 오리로 1005,
돌아온 김삿갓,02-323-7589,서울 서대문구 연세로7안길 4,
버킷,0507-1377-3037,경기 부천시 신흥로 170-1,슈바인학센 
항아리,031-8043-1932,경기 오산시 원동로37번길 29 항아리,A코스 B코스 C코스 D코스 과일 골뱅이무침-대 골뱅이무침-소 골뱅이 물회 오삼볶음 치킨너겟 과일화채 육포 마른오징어 노가리 모듬소세지볶음 
추억속으로,0507-1398-3550,인천 계양구 계산새로 93 205호,
연대포 분점,0507-1376-7603,서울 서대문구 연세로9길 17 1층,반반전 
작,02-501-2342,서울 강남구 논현로95길 14 101호,우리술 
전과막국수하우스,0507-1464-0887,인천 연수구 샘말로 15-1 1층,모둠전 한우육전+새우전 녹두전 막국수+돼지갈비 부추새우전 굴전(계절) 골뱅이무침 한우육전 새우전 감자전 김치전 육전깻잎전 
유객주 평촌역점,031-382-8111,경기 안양시 동안구 관평로182번길 31,
이화주막,02-3676-3313,서울 종로구 돈화문로5가길 31-1,
막걸리학교,0507-1498-3009,서울 서초구 방배천로 12-5 1층 막걸리학교,봉평 메밀 고기 김치전 해물 듬뿍 미나리 부추전 김치제육두부김치 벌교반건조가오리찜 국내산돼지고기수육 불낙전골 홍어삼합 매운 콩나물 오징어볶음 낚지볶음 소면 오징어통찜 지리산 도토리묵 
뚱땡이네,02-898-6412,경기 광명시 기아로 22 한성빌딩,
행복가 미금점,031-608-3131,경기 성남시 분당구 성남대로172번길 12 현대아리온 오피스텔,모듬전 해물파전 녹두전 동그랑땡 쪽갈비 막걸리 
한우물,0507-1338-1628,인천 남동구 장승남로 54,
오씨네술집(PART2),02-355-0130,서울 은평구 서오릉로 60,화이트에일 페일에일 오트밀스타우트 
주전자,031-938-1100,경기 고양시 덕양구 화신로260번길 41 동성골드프라자,
찌그러진주전자에얼음막걸리,0507-1311-6102,경기 시흥시 봉우재로 57,얼음막걸리 
